Tracing lock events... Hit Ctrl-C to end.

                                  Caller                                  Process        PID   Avg Spin  Count   Max spin Total spin
       b'__jbd2_log_wait_for_space+0xdb'                               b'dockerd'       4655    9210580    145  307352982 1335534102
         b'jbd2_log_do_checkpoint+0x3b5'                               b'dockerd'       4655   61725111      1   61725111   61725111
       b'__jbd2_log_wait_for_space+0xdb'                               b'dockerd'       4655   60733824      1   60733824   60733824
       b'__jbd2_log_wait_for_space+0xdb'                               b'dockerd'       4655   55429077      1   55429077   55429077
              b'rtnetlink_rcv_msg+0x23a'                        b'NetworkManager'      16054    1090213    259   47425489  282365180
                      b'dev_ioctl+0x12f'                        b'NetworkManager'      16054     375322    292   47053362  109594085
     b'do_ipv6_setsockopt.isra.0+0x129b'                          b'avahi-daemon'      16339    2384751     38   46939378   90620543
                   b'fqdir_work_fn+0x31'                          b'kworker/25:1'        288   30847551      3   35152303   92542653
                b'netlink_recvmsg+0x252'                                  b'ntpd'       1108     108778    909   28315385   98879439
           b'__netlink_dump_start+0x191'                        b'NetworkManager'      16054     243793    259   27191847   63142632
                   b'htab_map_free+0x1f'                          b'kworker/24:0'       6737   24048140      1   24048140   24048140
                b'inode_permission+0xe7'                         b'systemd-udevd'        723        762 363421   11083215  277151209
    b'memcg_kmem_cache_create_func+0x20'                          b'kworker/20:2'        409     180801   7621    9248974 1377891065
                b'inode_permission+0xe7'                         b'systemd-udevd'        723        711 1455705    8889400 1035732479
                b'inode_permission+0xe7'                               b'systemd'          1       1163 165095    5614163  192091854
                    b'lookup_fast+0x281'                         b'systemd-udevd'        723        697 1447539    4147834 1008965159
                b'netlink_recvmsg+0x252'                               b'dockerd'       4655       7305    751    3346491    5486320
               b'process_one_work+0x1eb'                          b'kworker/19:1'        282      11333  12456    3309006  141167796
                b'inode_permission+0xe7'                               b'systemd'          1        782 1715984    3243347 1343210956
                         b'ep_poll+0x8f'                               b'dockerd'       4655       1595 1709087    2795179 2726496082
                 b'new_sync_write+0x125'                          b'avahi-daemon'      16339       1472 1186893    2744626 1747738630
                  b'new_sync_read+0x122'                          b'avahi-daemon'      16339       1367 599407    2236167  819437161
                    b'lookup_fast+0x281'                               b'systemd'          1        740 728537    2183764  539261875
                   b'kernfs_remove+0x3b'                          b'kworker/19:1'        282       2044  10738    1815280   21950120
                 b'netlink_rcv_skb+0x50'                        b'NetworkManager'      16054     239635     63    1791013   15097058
                     b'shmem_mknod+0x2b'                       b'systemd-network'       1240       3873   1322    1610588    5120452
       b'__jbd2_log_wait_for_space+0xdb'                               b'dockerd'       4655     400722      4    1598568    1602890
                  b'linkwatch_event+0xe'                          b'kworker/10:2'       1096     543896     15    1581769    8158441
       b'__jbd2_log_wait_for_space+0xdb'                               b'dockerd'       4655      32784     48    1471784    1573643
                     b'shmem_mknod+0x2b'                               b'dockerd'       4655      30796     46    1338939    1416634
               b'process_one_work+0x1eb'                          b'kworker/20:2'        409       9684    208    1270366    2014376
                b'inode_permission+0xe7'                               b'systemd'          1       1160 162053    1236597  188005168
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061     167723      8    1220821    1341788
